stop_id,stop_code,stop_name,stop_lat,stop_lon
10077,30379,PRINCETON COMMUNITY VILLAGE,40.37694,-74.64863000000001
10078,30495,GRIGGS DR 191'S OF DAVID BREARLEY CT,40.38708,-74.65926
10079,32468,SECAUCUS JUNCTION BUS PLAZA,40.76199,-74.07357
1008,33021,RT-47 1190'S OF NELSON AVE,39.58157000000001,-75.05147000000001
10080,12793,RIVER RD AT MAIN ST,40.94536,-74.02033
10081,11081,WEST MAIN ST AT LARCH AVE,40.87845,-74.03108
10082,26478,US-9 AT DOCK ST,39.62842000000001,-74.31408
10083,26612,RT-9 AT GREEN ST,39.6047,-74.33408
10084,26460,OAK LN AT RADIO RD,39.59316,-74.35099000000001
10085,30493,RADIO RD AT GASKILL DR,39.58731,-74.35571
10086,26468,MATHISTOWN RD AT RADIO RD,39.57653000000001,-74.36566000000001
10087,26470,MATHISTOWN RD 100' E OF CENTER ST,39.58236,-74.36951000000001
10088,14137,US-9 AT OAK AVE,39.5917,-74.45577
10089,10483,US-9 AT MOTTS CREEK RD,39.51122,-74.45806
1009,19907,NORTHWEST BLVD AT CATAWBA ST#,39.54658000000001,-75.02503
10090,21563,ENTERPRISE AVE SOUTH 260' N OF METRO WAY,40.77504,-74.07266
10091,31218,MEADOWLANDS PKWY AT BROADCAST PLZ,40.7954,-74.06876000000001
10092,12637,SPRING VALLEY AVE AT WYOMING AVE,40.91511000000001,-74.06248000000001
10093,12639,SPRING VALLEY AVE AT OAK AVE,40.91265000000001,-74.05828000000001
10094,13642,DEGRAW AVE AT QUEEN ANNE RD,40.87499,-74.02021000000001
10095,12407,FORT LEE RD AT BROAD AVE,40.86182,-73.98815
10096,27225,16TH AVE AT STRAIGHT ST,40.91608,-74.16639000000001
10097,27493,VREELAND AVE AT PARK AVE,40.91311,-74.14265
10098,10024,SHORE RD AT CHEROKEE DR,39.43171,-74.49127
10099,12813,RIDGE RD AT INMAN PL,40.78512000000001,-74.13576
1010,16963,LANDIS AVE AT CONEY AVE,39.48679000000001,-75.04115
10100,12814,RIDGE RD AT ABBOTT PL,40.78646000000001,-74.13478000000001
10101,12818,RIDGE RD AT NOEL DR,40.79488000000001,-74.12859
10102,27321,LAKEVIEW AVE AT MARYLAND AVE,40.90047000000001,-74.14129000000001
10103,26770,LAKEVIEW AVE AT EAST 6TH ST,40.88807000000001,-74.13895000000001
10104,26772,LAKEVIEW AVE AT MERSELIS AVE,40.88546,-74.13834
10105,26782,LEXINGTON AVE AT ALYEA TERRACE,40.87802000000001,-74.13466000000001
10106,26715,CLIFTON AVE AT LEXINGTON AVE,40.87648,-74.13362000000001
10107,30253,CLIFTON AVE  150'S OF RANDOLPH AVE,40.87959,-74.12608
10108,27134,MONROE ST AT HOPE AVE,40.86649000000001,-74.12237
10109,27436,PRESIDENTIAL BLVD 260' E OF WEST BROADWAY,40.92202,-74.17450000000001
1011,17005,MAIN RD AT CHESTNUT AVE,39.47741000000001,-75.00164000000001
10110,27566,HALEDON AVE AT WAGARAW BLVD,40.93415,-74.17753
10111,12721,MOONACHIE RD AT PARK ST,40.84129,-74.04635
10112,12446,LIBERTY ST AT KAVRIK ST,40.84908,-74.04305000000001
10113,12447,LIBERTY ST AT RED NECK AVE,40.85103,-74.04376000000001
